time,PGL3,PGL3-mRNA,MEG3,MEG3-mRNA,MEG3p,mRNA,MEX5,MEX5-mRNA
4410,0,0,27,17,124,889,1152,638
4415,0,0,32,18,103,903,1166,626
4420,0,0,37,9,107,857,1157,630
4425,0,0,34,14,109,843,1136,661
4430,0,0,32,14,117,903,1187,617
4435,0,0,30,11,120,869,1158,647
4440,0,0,26,8,124,895,1171,646
4445,0,0,28,8,123,847,1161,650
4450,0,0,27,8,113,877,1173,641
4455,0,0,26,10,117,843,1172,641
4460,0,0,24,10,104,856,1196,625
4465,0,0,18,9,117,870,1188,646
4470,0,0,16,10,121,843,1153,670
4475,0,0,24,7,130,883,1191,633
4480,0,0,19,10,125,813,1105,701
4485,0,0,31,13,111,944,1233,578
4490,0,0,36,9,104,833,1140,679
4495,0,0,30,11,112,892,1207,612
4500,0,0,26,15,107,852,1145,675
4505,0,0,31,12,96,924,1229,595
4510,0,0,27,18,90,867,1166,675
4515,0,0,36,8,109,899,1203,639
4520,0,0,15,18,110,877,1214,643
4525,0,0,34,8,104,863,1196,677
4530,0,0,35,11,112,902,1240,639
4535,0,0,25,11,118,830,1169,703
4540,0,0,25,10,114,924,1246,630
4545,0,0,22,14,104,859,1189,685
4550,0,0,34,9,104,887,1191,667
4555,0,0,28,12,106,875,1174,679
4560,0,0,28,14,106,926,1230,634
4565,0,0,20,15,109,871,1186,671
4570,0,0,26,9,126,892,1196,647
4575,0,0,22,13,125,856,1166,668
4580,0,0,29,12,96,902,1186,649
4585,0,0,29,20,115,881,1172,651
4590,0,0,35,10,106,869,1159,651
4595,0,0,24,10,112,867,1148,649
4600,0,0,22,10,123,890,1159,647
4605,0,0,28,12,127,888,1181,633
4610,0,0,24,11,121,847,1147,658
4615,0,0,19,12,131,885,1155,648
4620,0,0,26,5,125,901,1144,659
4625,0,0,26,7,124,920,1183,637
4630,0,0,26,8,110,866,1135,676
4635,0,0,24,12,99,905,1176,621
4640,0,0,24,12,97,866,1116,674
4645,0,0,23,11,120,914,1149,633
4650,0,0,21,16,115,859,1109,670
4655,0,0,27,11,113,947,1155,622
4660,0,0,25,10,114,910,1108,682
4665,0,0,25,14,113,913,1132,636
4670,0,0,29,12,97,873,1105,667
4675,0,0,28,8,114,919,1152,622
4680,0,0,23,12,102,864,1073,693
4685,0,0,25,13,105,965,1151,621
4690,0,0,30,16,105,855,1061,692
4695,0,0,38,8,104,970,1160,599
4700,0,0,32,12,98,853,1053,713
4705,0,0,28,11,108,999,1164,602
4710,0,0,27,16,101,871,1040,720
4715,0,0,38,11,110,970,1147,598
4720,0,0,18,8,118,853,1020,712
4725,0,0,26,8,112,986,1139,581
4730,0,0,21,13,103,864,1016,698
4735,0,0,24,10,98,961,1137,593
4740,0,0,21,9,123,848,1058,663
4745,0,0,25,14,118,918,1106,624
4750,0,0,24,6,111,898,1064,666
4755,0,0,26,8,104,924,1077,655
4760,0,0,17,16,112,917,1081,638
4765,0,0,29,7,119,941,1084,636
4770,0,0,19,14,127,911,1064,646
4775,0,0,23,8,113,905,1076,638
4780,0,0,19,18,115,917,1080,641
4785,0,0,32,7,112,944,1071,656
4790,0,0,27,14,104,956,1088,648
4795,0,0,27,11,100,886,1046,685
4800,0,0,23,5,114,958,1134,598
4805,0,0,15,15,109,875,1059,671
4810,0,0,29,12,104,939,1155,584
4815,0,0,34,19,101,840,1058,679
4820,0,0,34,17,104,909,1123,607
4825,0,0,33,18,95,887,1070,652
4830,0,0,28,12,94,936,1087,629
4835,0,0,21,17,111,888,1052,658
4840,0,0,28,12,112,889,1085,616
4845,0,0,33,10,112,888,1039,655
4850,0,0,30,13,107,932,1077,623
4855,0,0,26,16,115,914,1061,640
4860,0,0,28,11,113,907,1036,655
4865,0,0,25,15,126,952,1063,639
4870,0,0,20,6,131,908,1061,653
4875,0,0,26,10,119,915,1079,634
4880,0,0,19,11,110,911,1092,633
4885,0,0,24,5,137,909,1079,648
4890,0,0,26,6,126,922,1090,637
4895,0,0,22,8,119,921,1095,635
4900,0,0,22,8,118,914,1104,630
4905,0,0,27,6,123,916,1085,651
4910,0,0,26,10,122,921,1093,640
4915,0,0,16,12,123,907,1102,644
4920,0,0,32,7,130,927,1092,654
4925,0,0,20,15,115,899,1111,645
4930,0,0,28,14,102,912,1146,613
4935,0,0,31,11,119,847,1096,661
4940,0,0,18,17,115,890,1144,609
4945,0,0,31,13,103,842,1080,650
4950,0,0,29,6,107,868,1127,592
4955,0,0,26,9,103,850,1079,636
4960,0,0,25,16,99,912,1151,579
4965,0,0,37,11,101,862,1086,662
4970,0,0,30,13,116,885,1139,598
4975,0,0,27,10,114,827,1079,650
4980,0,0,29,12,123,913,1142,603
4985,0,0,34,14,126,836,1086,670
4990,0,0,34,11,120,904,1129,625
4995,0,0,30,7,125,884,1111,635
5000,0,0,23,15,106,889,1119,635
